MCS,CtlrRate,Mean_Goodput(Mbps),Distance(m),SimulationTime(s),Seed
0,OfdmRate6Mbps,61.0558,0,20,8
0,OfdmRate6Mbps,61.0558,5,20,8
0,OfdmRate6Mbps,61.0558,10,20,8
0,OfdmRate6Mbps,61.0558,15,20,8
0,OfdmRate6Mbps,61.0558,20,20,8
0,OfdmRate6Mbps,61.0558,25,20,8
0,OfdmRate6Mbps,0.0183815,30,20,8
0,OfdmRate6Mbps,0.0183815,35,20,8
0,OfdmRate6Mbps,0.0183815,40,20,8
0,OfdmRate6Mbps,0.0183815,45,20,8
0,OfdmRate6Mbps,0.0183815,50,20,8
0,OfdmRate6Mbps,0,55,20,8
0,OfdmRate6Mbps,0,60,20,8
0,OfdmRate6Mbps,0,65,20,8
0,OfdmRate6Mbps,0,70,20,8
0,OfdmRate6Mbps,0,75,20,8
0,OfdmRate6Mbps,0,80,20,8
0,OfdmRate6Mbps,0,85,20,8
0,OfdmRate6Mbps,0,90,20,8
0,OfdmRate6Mbps,0,95,20,8
0,OfdmRate6Mbps,0,100,20,8
1,OfdmRate12Mbps,121.342,0,20,8
1,OfdmRate12Mbps,121.342,5,20,8
1,OfdmRate12Mbps,121.342,10,20,8
1,OfdmRate12Mbps,121.342,15,20,8
1,OfdmRate12Mbps,121.342,20,20,8
1,OfdmRate12Mbps,121.342,25,20,8
1,OfdmRate12Mbps,0.0183815,30,20,8
1,OfdmRate12Mbps,0.0183815,35,20,8
1,OfdmRate12Mbps,0.0183815,40,20,8
1,OfdmRate12Mbps,0.0183815,45,20,8
1,OfdmRate12Mbps,0.0183815,50,20,8
1,OfdmRate12Mbps,0,55,20,8
1,OfdmRate12Mbps,0,60,20,8
1,OfdmRate12Mbps,0,65,20,8
1,OfdmRate12Mbps,0,70,20,8
1,OfdmRate12Mbps,0,75,20,8
1,OfdmRate12Mbps,0,80,20,8
1,OfdmRate12Mbps,0,85,20,8
1,OfdmRate12Mbps,0,90,20,8
1,OfdmRate12Mbps,0,95,20,8
1,OfdmRate12Mbps,0,100,20,8
2,OfdmRate18Mbps,175.206,0,20,8
2,OfdmRate18Mbps,175.206,5,20,8
2,OfdmRate18Mbps,175.206,10,20,8
2,OfdmRate18Mbps,175.206,15,20,8
2,OfdmRate18Mbps,175.206,20,20,8
2,OfdmRate18Mbps,175.206,25,20,8
2,OfdmRate18Mbps,0.0183815,30,20,8
2,OfdmRate18Mbps,0.0183815,35,20,8
2,OfdmRate18Mbps,0.0183815,40,20,8
2,OfdmRate18Mbps,0.0183815,45,20,8
2,OfdmRate18Mbps,0.0183815,50,20,8
2,OfdmRate18Mbps,0,55,20,8
2,OfdmRate18Mbps,0,60,20,8
2,OfdmRate18Mbps,0,65,20,8
2,OfdmRate18Mbps,0,70,20,8
2,OfdmRate18Mbps,0,75,20,8
2,OfdmRate18Mbps,0,80,20,8
2,OfdmRate18Mbps,0,85,20,8
2,OfdmRate18Mbps,0,90,20,8
2,OfdmRate18Mbps,0,95,20,8
2,OfdmRate18Mbps,0,100,20,8
3,OfdmRate24Mbps,230.663,0,20,8
3,OfdmRate24Mbps,230.663,5,20,8
3,OfdmRate24Mbps,230.663,10,20,8
3,OfdmRate24Mbps,230.663,15,20,8
3,OfdmRate24Mbps,230.663,20,20,8
3,OfdmRate24Mbps,230.663,25,20,8
3,OfdmRate24Mbps,0.0183815,30,20,8
3,OfdmRate24Mbps,0.0183815,35,20,8
3,OfdmRate24Mbps,0.0183815,40,20,8
3,OfdmRate24Mbps,0.0183815,45,20,8
3,OfdmRate24Mbps,0.0183815,50,20,8
3,OfdmRate24Mbps,0,55,20,8
3,OfdmRate24Mbps,0,60,20,8
3,OfdmRate24Mbps,0,65,20,8
3,OfdmRate24Mbps,0,70,20,8
3,OfdmRate24Mbps,0,75,20,8
3,OfdmRate24Mbps,0,80,20,8
3,OfdmRate24Mbps,0,85,20,8
3,OfdmRate24Mbps,0,90,20,8
3,OfdmRate24Mbps,0,95,20,8
3,OfdmRate24Mbps,0,100,20,8
4,OfdmRate36Mbps,325.409,0,20,8
4,OfdmRate36Mbps,325.409,5,20,8
4,OfdmRate36Mbps,325.409,10,20,8
4,OfdmRate36Mbps,325.409,15,20,8
4,OfdmRate36Mbps,325.409,20,20,8
4,OfdmRate36Mbps,305.112,25,20,8
4,OfdmRate36Mbps,0.0183815,30,20,8
4,OfdmRate36Mbps,0.0183815,35,20,8
4,OfdmRate36Mbps,0.0183815,40,20,8
4,OfdmRate36Mbps,0.0183815,45,20,8
4,OfdmRate36Mbps,0.0183815,50,20,8
4,OfdmRate36Mbps,0,55,20,8
4,OfdmRate36Mbps,0,60,20,8
4,OfdmRate36Mbps,0,65,20,8
4,OfdmRate36Mbps,0,70,20,8
4,OfdmRate36Mbps,0,75,20,8
4,OfdmRate36Mbps,0,80,20,8
4,OfdmRate36Mbps,0,85,20,8
4,OfdmRate36Mbps,0,90,20,8
4,OfdmRate36Mbps,0,95,20,8
4,OfdmRate36Mbps,0,100,20,8
5,OfdmRate48Mbps,409.521,0,20,8
5,OfdmRate48Mbps,409.521,5,20,8
5,OfdmRate48Mbps,409.521,10,20,8
