Mean_Goodput(Mbps),NumSTAs,FrequencyBand(Hz),ChannelWidth(GHz),Seed,SimulationTime(s)
87.6093,1,2.4,40,42,20
143.858,3,2.4,40,42,20
223.92,5,2.4,40,42,20
367.318,7,2.4,40,42,20
256.161,9,2.4,40,42,20
314.005,11,2.4,40,42,20
411.817,13,2.4,40,42,20
323.654,15,2.4,40,42,20
384.081,17,2.4,40,42,20
381.715,19,2.4,40,42,20
453.705,21,2.4,40,42,20
352.322,23,2.4,40,42,20
438.295,25,2.4,40,42,20
487.344,27,2.4,40,42,20
605.353,29,2.4,40,42,20
540.31,31,2.4,40,42,20
717.658,33,2.4,40,42,20
784.138,35,2.4,40,42,20
740.059,37,2.4,40,42,20
567.15,39,2.4,40,42,20
870.091,41,2.4,40,42,20
1008.38,43,2.4,40,42,20
1258.41,45,2.4,40,42,20
689.391,47,2.4,40,42,20
688.638,49,2.4,40,42,20
808.289,51,2.4,40,42,20
705.382,53,2.4,40,42,20
708.942,55,2.4,40,42,20
1067.7,57,2.4,40,42,20
1095.26,59,2.4,40,42,20
912.26,61,2.4,40,42,20
844.196,63,2.4,40,42,20
968.944,65,2.4,40,42,20
960.244,67,2.4,40,42,20
1042.77,69,2.4,40,42,20
1272.27,71,2.4,40,42,20
1372.51,73,2.4,40,42,20
1429.12,75,2.4,40,42,20
963.281,77,2.4,40,42,20
1883.73,79,2.4,40,42,20
1116.09,81,2.4,40,42,20
1304.69,83,2.4,40,42,20
1501.84,85,2.4,40,42,20
1268.71,87,2.4,40,42,20
1767.47,89,2.4,40,42,20
2546.89,91,2.4,40,42,20
2015.27,93,2.4,40,42,20
1495.48,95,2.4,40,42,20
1889.87,97,2.4,40,42,20
1400.97,99,2.4,40,42,20
1489.45,101,2.4,40,42,20
89.0795,1,5,160,42,20
0,2,5,160,42,20
43.5228,3,5,160,42,20
18.0643,4,5,160,42,20
75.6693,5,5,160,42,20
59.5117,6,5,160,42,20
51.3303,7,5,160,42,20
155.023,8,5,160,42,20
79.3206,9,5,160,42,20
85.5165,10,5,160,42,20
100.461,11,5,160,42,20
117.076,12,5,160,42,20
143.515,13,5,160,42,20
