MCS,CtlrRate,Mean_Throughput(Mbps),Distance(m),SimulationTime(s),Seed
0,ErpOfdmRate6Mbps,14.7744,0,20,6
0,ErpOfdmRate6Mbps,14.7741,5,20,6
0,ErpOfdmRate6Mbps,14.7741,10,20,6
0,ErpOfdmRate6Mbps,14.7741,15,20,6
0,ErpOfdmRate6Mbps,14.7741,20,20,6
0,ErpOfdmRate6Mbps,14.7741,25,20,6
0,ErpOfdmRate6Mbps,14.7741,30,20,6
0,ErpOfdmRate6Mbps,14.7741,35,20,6
0,ErpOfdmRate6Mbps,14.7737,40,20,6
0,ErpOfdmRate6Mbps,14.7737,45,20,6
0,ErpOfdmRate6Mbps,14.7728,50,20,6
0,ErpOfdmRate6Mbps,14.7728,55,20,6
0,ErpOfdmRate6Mbps,14.7728,60,20,6
0,ErpOfdmRate6Mbps,14.7728,65,20,6
0,ErpOfdmRate6Mbps,14.7728,70,20,6
0,ErpOfdmRate6Mbps,14.7722,75,20,6
0,ErpOfdmRate6Mbps,14.7721,80,20,6
0,ErpOfdmRate6Mbps,14.7721,85,20,6
0,ErpOfdmRate6Mbps,0,90,20,6
0,ErpOfdmRate6Mbps,0,95,20,6
0,ErpOfdmRate6Mbps,0,100,20,6
1,ErpOfdmRate12Mbps,29.7463,0,20,6
1,ErpOfdmRate12Mbps,29.7463,5,20,6
1,ErpOfdmRate12Mbps,29.7463,10,20,6
1,ErpOfdmRate12Mbps,29.7463,15,20,6
1,ErpOfdmRate12Mbps,29.7463,20,20,6
1,ErpOfdmRate12Mbps,29.7463,25,20,6
1,ErpOfdmRate12Mbps,29.7463,30,20,6
1,ErpOfdmRate12Mbps,29.7463,35,20,6
1,ErpOfdmRate12Mbps,29.7463,40,20,6
1,ErpOfdmRate12Mbps,29.7459,45,20,6
1,ErpOfdmRate12Mbps,29.7459,50,20,6
1,ErpOfdmRate12Mbps,29.7459,55,20,6
1,ErpOfdmRate12Mbps,29.7459,60,20,6
1,ErpOfdmRate12Mbps,29.7459,65,20,6
1,ErpOfdmRate12Mbps,29.7449,70,20,6
1,ErpOfdmRate12Mbps,29.7443,75,20,6
1,ErpOfdmRate12Mbps,29.7443,80,20,6
1,ErpOfdmRate12Mbps,29.7439,85,20,6
1,ErpOfdmRate12Mbps,0,90,20,6
1,ErpOfdmRate12Mbps,0,95,20,6
1,ErpOfdmRate12Mbps,0,100,20,6
2,ErpOfdmRate18Mbps,44.6111,0,20,6
2,ErpOfdmRate18Mbps,44.6111,5,20,6
2,ErpOfdmRate18Mbps,44.6111,10,20,6
2,ErpOfdmRate18Mbps,44.6111,15,20,6
2,ErpOfdmRate18Mbps,44.6116,20,20,6
2,ErpOfdmRate18Mbps,44.6116,25,20,6
2,ErpOfdmRate18Mbps,44.6116,30,20,6
2,ErpOfdmRate18Mbps,44.6116,35,20,6
2,ErpOfdmRate18Mbps,44.6116,40,20,6
2,ErpOfdmRate18Mbps,44.6116,45,20,6
2,ErpOfdmRate18Mbps,44.6116,50,20,6
2,ErpOfdmRate18Mbps,44.6116,55,20,6
2,ErpOfdmRate18Mbps,44.6104,60,20,6
2,ErpOfdmRate18Mbps,44.6104,65,20,6
2,ErpOfdmRate18Mbps,44.6093,70,20,6
2,ErpOfdmRate18Mbps,44.6093,75,20,6
2,ErpOfdmRate18Mbps,44.6093,80,20,6
2,ErpOfdmRate18Mbps,44.6087,85,20,6
2,ErpOfdmRate18Mbps,0,90,20,6
2,ErpOfdmRate18Mbps,0,95,20,6
2,ErpOfdmRate18Mbps,0,100,20,6
3,ErpOfdmRate24Mbps,59.6938,0,20,6
3,ErpOfdmRate24Mbps,59.6938,5,20,6
3,ErpOfdmRate24Mbps,59.6936,10,20,6
3,ErpOfdmRate24Mbps,59.6925,15,20,6
3,ErpOfdmRate24Mbps,59.6925,20,20,6
3,ErpOfdmRate24Mbps,59.6915,25,20,6
3,ErpOfdmRate24Mbps,59.6915,30,20,6
3,ErpOfdmRate24Mbps,59.6906,35,20,6
3,ErpOfdmRate24Mbps,59.6906,40,20,6
3,ErpOfdmRate24Mbps,59.6884,45,20,6
3,ErpOfdmRate24Mbps,59.6884,50,20,6
3,ErpOfdmRate24Mbps,59.6877,55,20,6
3,ErpOfdmRate24Mbps,59.6877,60,20,6
3,ErpOfdmRate24Mbps,59.6863,65,20,6
3,ErpOfdmRate24Mbps,59.6863,70,20,6
3,ErpOfdmRate24Mbps,59.6854,75,20,6
3,ErpOfdmRate24Mbps,59.6883,80,20,6
3,ErpOfdmRate24Mbps,59.6749,85,20,6
3,ErpOfdmRate24Mbps,0,90,20,6
3,ErpOfdmRate24Mbps,0,95,20,6
3,ErpOfdmRate24Mbps,0,100,20,6
4,ErpOfdmRate36Mbps,89.2014,0,20,6
4,ErpOfdmRate36Mbps,89.1988,5,20,6
4,ErpOfdmRate36Mbps,89.1988,10,20,6
4,ErpOfdmRate36Mbps,89.1988,15,20,6
4,ErpOfdmRate36Mbps,89.1969,20,20,6
4,ErpOfdmRate36Mbps,89.1948,25,20,6
4,ErpOfdmRate36Mbps,89.1948,30,20,6
4,ErpOfdmRate36Mbps,89.1948,35,20,6
4,ErpOfdmRate36Mbps,89.1948,40,20,6
4,ErpOfdmRate36Mbps,89.1948,45,20,6
4,ErpOfdmRate36Mbps,89.1948,50,20,6
4,ErpOfdmRate36Mbps,89.1948,55,20,6
4,ErpOfdmRate36Mbps,89.1963,60,20,6
4,ErpOfdmRate36Mbps,89.1466,65,20,6
4,ErpOfdmRate36Mbps,87.7556,70,20,6
4,ErpOfdmRate36Mbps,0.0146265,75,20,6
4,ErpOfdmRate36Mbps,0.0146265,80,20,6
4,ErpOfdmRate36Mbps,0.0147328,85,20,6
4,ErpOfdmRate36Mbps,0,90,20,6
4,ErpOfdmRate36Mbps,0,95,20,6
4,ErpOfdmRate36Mbps,0,100,20,6
5,ErpOfdmRate48Mbps,117.17,0,20,6
5,ErpOfdmRate48Mbps,117.17,5,20,6
5,ErpOfdmRate48Mbps,117.167,10,20,6
5,ErpOfdmRate48Mbps,117.166,15,20,6
5,ErpOfdmRate48Mbps,117.166,20,20,6
5,ErpOfdmRate48Mbps,117.164,25,20,6
5,ErpOfdmRate48Mbps,117.164,30,20,6
5,ErpOfdmRate48Mbps,117.164,35,20,6
5,ErpOfdmRate48Mbps,117.163,40,20,6
5,ErpOfdmRate48Mbps,117.15,45,20,6
5,ErpOfdmRate48Mbps,115.451,50,20,6
5,ErpOfdmRate48Mbps,90.7658,55,20,6
5,ErpOfdmRate48Mbps,0.0147328,60,20,6
5,ErpOfdmRate48Mbps,0.0147328,65,20,6
5,ErpOfdmRate48Mbps,0.0147328,70,20,6
5,ErpOfdmRate48Mbps,0.0147328,75,20,6
5,ErpOfdmRate48Mbps,0.0147328,80,20,6
5,ErpOfdmRate48Mbps,0.0147328,85,20,6
5,ErpOfdmRate48Mbps,0,90,20,6
5,ErpOfdmRate48Mbps,0,95,20,6
5,ErpOfdmRate48Mbps,0,100,20,6
6,ErpOfdmRate54Mbps,131.005,0,20,6
6,ErpOfdmRate54Mbps,131.001,5,20,6
6,ErpOfdmRate54Mbps,130.999,10,20,6
6,ErpOfdmRate54Mbps,130.999,15,20,6
6,ErpOfdmRate54Mbps,130.998,20,20,6
6,ErpOfdmRate54Mbps,130.998,25,20,6
6,ErpOfdmRate54Mbps,130.998,30,20,6
6,ErpOfdmRate54Mbps,130.997,35,20,6
6,ErpOfdmRate54Mbps,130.999,40,20,6
6,ErpOfdmRate54Mbps,129.345,45,20,6
6,ErpOfdmRate54Mbps,58.5016,50,20,6
6,ErpOfdmRate54Mbps,0.0147328,55,20,6
6,ErpOfdmRate54Mbps,0.0147328,60,20,6
6,ErpOfdmRate54Mbps,0.0147328,65,20,6
6,ErpOfdmRate54Mbps,0.0147328,70,20,6
6,ErpOfdmRate54Mbps,0.0147328,75,20,6
6,ErpOfdmRate54Mbps,0.0147328,80,20,6
6,ErpOfdmRate54Mbps,0.0147328,85,20,6
6,ErpOfdmRate54Mbps,0,90,20,6
6,ErpOfdmRate54Mbps,0,95,20,6
6,ErpOfdmRate54Mbps,0,100,20,6
7,ErpOfdmRate54Mbps,144.8,0,20,6
7,ErpOfdmRate54Mbps,144.8,5,20,6
7,ErpOfdmRate54Mbps,144.798,10,20,6
7,ErpOfdmRate54Mbps,144.797,15,20,6
7,ErpOfdmRate54Mbps,144.796,20,20,6
7,ErpOfdmRate54Mbps,144.795,25,20,6
7,ErpOfdmRate54Mbps,144.793,30,20,6
7,ErpOfdmRate54Mbps,144.793,35,20,6
7,ErpOfdmRate54Mbps,143.801,40,20,6
7,ErpOfdmRate54Mbps,0.0147328,45,20,6
7,ErpOfdmRate54Mbps,0.0147328,50,20,6
7,ErpOfdmRate54Mbps,0.0147328,55,20,6
7,ErpOfdmRate54Mbps,0.0147328,60,20,6
7,ErpOfdmRate54Mbps,0.0147328,65,20,6
7,ErpOfdmRate54Mbps,0.0147328,70,20,6
7,ErpOfdmRate54Mbps,0.0147328,75,20,6
7,ErpOfdmRate54Mbps,0.0147328,80,20,6
7,ErpOfdmRate54Mbps,0.0147328,85,20,6
7,ErpOfdmRate54Mbps,0,90,20,6
7,ErpOfdmRate54Mbps,0,95,20,6
7,ErpOfdmRate54Mbps,0,100,20,6
8,ErpOfdmRate54Mbps,171.532,0,20,6
8,ErpOfdmRate54Mbps,171.531,5,20,6
8,ErpOfdmRate54Mbps,171.525,10,20,6
8,ErpOfdmRate54Mbps,171.522,15,20,6
8,ErpOfdmRate54Mbps,171.518,20,20,6
8,ErpOfdmRate54Mbps,171.514,25,20,6
8,ErpOfdmRate54Mbps,168.788,30,20,6
8,ErpOfdmRate54Mbps,0.0147328,35,20,6
8,ErpOfdmRate54Mbps,0.0147328,40,20,6
8,ErpOfdmRate54Mbps,0.0147328,45,20,6
8,ErpOfdmRate54Mbps,0.0147328,50,20,6
8,ErpOfdmRate54Mbps,0.0147328,55,20,6
8,ErpOfdmRate54Mbps,0.0147328,60,20,6
8,ErpOfdmRate54Mbps,0.0147328,65,20,6
8,ErpOfdmRate54Mbps,0.0147328,70,20,6
8,ErpOfdmRate54Mbps,0.0147328,75,20,6
8,ErpOfdmRate54Mbps,0.0147328,80,20,6
8,ErpOfdmRate54Mbps,0.0147328,85,20,6
8,ErpOfdmRate54Mbps,0,90,20,6
8,ErpOfdmRate54Mbps,0,95,20,6
8,ErpOfdmRate54Mbps,0,100,20,6
9,ErpOfdmRate54Mbps,188.45,0,20,6
9,ErpOfdmRate54Mbps,188.449,5,20,6
9,ErpOfdmRate54Mbps,188.449,10,20,6
9,ErpOfdmRate54Mbps,188.446,15,20,6
9,ErpOfdmRate54Mbps,188.441,20,20,6
9,ErpOfdmRate54Mbps,188.338,25,20,6
9,ErpOfdmRate54Mbps,123.878,30,20,6
9,ErpOfdmRate54Mbps,0.0147328,35,20,6
9,ErpOfdmRate54Mbps,0.0147328,40,20,6
9,ErpOfdmRate54Mbps,0.0147328,45,20,6
9,ErpOfdmRate54Mbps,0.0147328,50,20,6
9,ErpOfdmRate54Mbps,0.0147328,55,20,6
9,ErpOfdmRate54Mbps,0.0147328,60,20,6
9,ErpOfdmRate54Mbps,0.0147328,65,20,6
9,ErpOfdmRate54Mbps,0.0147328,70,20,6
9,ErpOfdmRate54Mbps,0.0147328,75,20,6
9,ErpOfdmRate54Mbps,0.0147328,80,20,6
9,ErpOfdmRate54Mbps,0.0147328,85,20,6
9,ErpOfdmRate54Mbps,0,90,20,6
9,ErpOfdmRate54Mbps,0,95,20,6
9,ErpOfdmRate54Mbps,0,100,20,6
10,ErpOfdmRate54Mbps,210.352,0,20,6
