MCS,CtlrRate,Mean_Throughput(Mbps),Distance(m),SimulationTime(s),Seed
0,ErpOfdmRate6Mbps,14.3948,0,20,4
0,ErpOfdmRate6Mbps,14.3948,5,20,4
0,ErpOfdmRate6Mbps,14.3948,10,20,4
0,ErpOfdmRate6Mbps,14.3948,15,20,4
0,ErpOfdmRate6Mbps,14.3948,20,20,4
0,ErpOfdmRate6Mbps,14.3948,25,20,4
0,ErpOfdmRate6Mbps,14.3948,30,20,4
0,ErpOfdmRate6Mbps,14.3948,35,20,4
0,ErpOfdmRate6Mbps,14.3948,40,20,4
0,ErpOfdmRate6Mbps,14.3948,45,20,4
0,ErpOfdmRate6Mbps,14.3948,50,20,4
0,ErpOfdmRate6Mbps,14.3948,55,20,4
0,ErpOfdmRate6Mbps,14.3948,60,20,4
0,ErpOfdmRate6Mbps,14.3948,65,20,4
0,ErpOfdmRate6Mbps,0.016949,70,20,4
0,ErpOfdmRate6Mbps,0.016949,75,20,4
0,ErpOfdmRate6Mbps,0.016949,80,20,4
0,ErpOfdmRate6Mbps,0,85,20,4
0,ErpOfdmRate6Mbps,0,90,20,4
0,ErpOfdmRate6Mbps,0,95,20,4
0,ErpOfdmRate6Mbps,0,100,20,4
1,ErpOfdmRate12Mbps,29.3223,0,20,4
1,ErpOfdmRate12Mbps,29.3223,5,20,4
1,ErpOfdmRate12Mbps,29.3223,10,20,4
1,ErpOfdmRate12Mbps,29.3223,15,20,4
1,ErpOfdmRate12Mbps,29.3223,20,20,4
1,ErpOfdmRate12Mbps,29.3223,25,20,4
1,ErpOfdmRate12Mbps,29.3223,30,20,4
1,ErpOfdmRate12Mbps,29.3223,35,20,4
1,ErpOfdmRate12Mbps,29.3223,40,20,4
1,ErpOfdmRate12Mbps,29.3223,45,20,4
1,ErpOfdmRate12Mbps,29.3223,50,20,4
1,ErpOfdmRate12Mbps,29.3223,55,20,4
1,ErpOfdmRate12Mbps,29.3223,60,20,4
1,ErpOfdmRate12Mbps,29.3223,65,20,4
1,ErpOfdmRate12Mbps,0.016949,70,20,4
1,ErpOfdmRate12Mbps,0.016949,75,20,4
1,ErpOfdmRate12Mbps,0.016949,80,20,4
1,ErpOfdmRate12Mbps,0,85,20,4
1,ErpOfdmRate12Mbps,0,90,20,4
1,ErpOfdmRate12Mbps,0,95,20,4
1,ErpOfdmRate12Mbps,0,100,20,4
2,ErpOfdmRate18Mbps,43.9761,0,20,4
2,ErpOfdmRate18Mbps,43.9761,5,20,4
2,ErpOfdmRate18Mbps,43.9761,10,20,4
2,ErpOfdmRate18Mbps,43.9761,15,20,4
2,ErpOfdmRate18Mbps,43.9761,20,20,4
2,ErpOfdmRate18Mbps,43.9761,25,20,4
2,ErpOfdmRate18Mbps,43.9761,30,20,4
2,ErpOfdmRate18Mbps,43.9761,35,20,4
2,ErpOfdmRate18Mbps,43.9761,40,20,4
2,ErpOfdmRate18Mbps,43.9761,45,20,4
2,ErpOfdmRate18Mbps,43.9761,50,20,4
2,ErpOfdmRate18Mbps,43.9761,55,20,4
2,ErpOfdmRate18Mbps,43.9761,60,20,4
2,ErpOfdmRate18Mbps,43.9761,65,20,4
2,ErpOfdmRate18Mbps,0.016949,70,20,4
2,ErpOfdmRate18Mbps,0.016949,75,20,4
2,ErpOfdmRate18Mbps,0.016949,80,20,4
2,ErpOfdmRate18Mbps,0,85,20,4
2,ErpOfdmRate18Mbps,0,90,20,4
2,ErpOfdmRate18Mbps,0,95,20,4
2,ErpOfdmRate18Mbps,0,100,20,4
3,ErpOfdmRate24Mbps,59.1669,0,20,4
3,ErpOfdmRate24Mbps,59.1669,5,20,4
3,ErpOfdmRate24Mbps,59.1669,10,20,4
3,ErpOfdmRate24Mbps,59.1669,15,20,4
3,ErpOfdmRate24Mbps,59.1669,20,20,4
3,ErpOfdmRate24Mbps,59.1669,25,20,4
3,ErpOfdmRate24Mbps,59.1669,30,20,4
3,ErpOfdmRate24Mbps,59.1669,35,20,4
3,ErpOfdmRate24Mbps,59.1669,40,20,4
3,ErpOfdmRate24Mbps,59.1669,45,20,4
3,ErpOfdmRate24Mbps,59.1669,50,20,4
3,ErpOfdmRate24Mbps,59.1669,55,20,4
3,ErpOfdmRate24Mbps,59.1669,60,20,4
3,ErpOfdmRate24Mbps,59.1669,65,20,4
3,ErpOfdmRate24Mbps,0.016949,70,20,4
3,ErpOfdmRate24Mbps,0.016949,75,20,4
3,ErpOfdmRate24Mbps,0.016949,80,20,4
3,ErpOfdmRate24Mbps,0,85,20,4
3,ErpOfdmRate24Mbps,0,90,20,4
3,ErpOfdmRate24Mbps,0,95,20,4
3,ErpOfdmRate24Mbps,0,100,20,4
4,ErpOfdmRate36Mbps,88.3846,0,20,4
4,ErpOfdmRate36Mbps,88.3846,5,20,4
4,ErpOfdmRate36Mbps,88.3846,10,20,4
4,ErpOfdmRate36Mbps,88.3846,15,20,4
4,ErpOfdmRate36Mbps,88.3846,20,20,4
4,ErpOfdmRate36Mbps,88.3846,25,20,4
4,ErpOfdmRate36Mbps,88.3846,30,20,4
4,ErpOfdmRate36Mbps,88.3846,35,20,4
4,ErpOfdmRate36Mbps,88.3846,40,20,4
4,ErpOfdmRate36Mbps,88.3846,45,20,4
4,ErpOfdmRate36Mbps,88.3846,50,20,4
4,ErpOfdmRate36Mbps,88.3846,55,20,4
4,ErpOfdmRate36Mbps,88.3856,60,20,4
4,ErpOfdmRate36Mbps,87.8747,65,20,4
4,ErpOfdmRate36Mbps,0.016949,70,20,4
4,ErpOfdmRate36Mbps,0.016949,75,20,4
4,ErpOfdmRate36Mbps,0.016949,80,20,4
4,ErpOfdmRate36Mbps,0,85,20,4
4,ErpOfdmRate36Mbps,0,90,20,4
4,ErpOfdmRate36Mbps,0,95,20,4
4,ErpOfdmRate36Mbps,0,100,20,4
5,ErpOfdmRate48Mbps,115.839,0,20,4
5,ErpOfdmRate48Mbps,115.839,5,20,4
5,ErpOfdmRate48Mbps,115.839,10,20,4
5,ErpOfdmRate48Mbps,115.839,15,20,4
5,ErpOfdmRate48Mbps,115.839,20,20,4
5,ErpOfdmRate48Mbps,115.839,25,20,4
5,ErpOfdmRate48Mbps,115.839,30,20,4
5,ErpOfdmRate48Mbps,115.839,35,20,4
5,ErpOfdmRate48Mbps,115.839,40,20,4
5,ErpOfdmRate48Mbps,115.485,45,20,4
5,ErpOfdmRate48Mbps,110.571,50,20,4
5,ErpOfdmRate48Mbps,44.8834,55,20,4
5,ErpOfdmRate48Mbps,0.016949,60,20,4
5,ErpOfdmRate48Mbps,0.016949,65,20,4
5,ErpOfdmRate48Mbps,0.016949,70,20,4
5,ErpOfdmRate48Mbps,0.016949,75,20,4
5,ErpOfdmRate48Mbps,0.016949,80,20,4
5,ErpOfdmRate48Mbps,0,85,20,4
5,ErpOfdmRate48Mbps,0,90,20,4
5,ErpOfdmRate48Mbps,0,95,20,4
5,ErpOfdmRate48Mbps,0,100,20,4
6,ErpOfdmRate54Mbps,129.382,0,20,4
6,ErpOfdmRate54Mbps,129.382,5,20,4
6,ErpOfdmRate54Mbps,129.382,10,20,4
6,ErpOfdmRate54Mbps,129.382,15,20,4
6,ErpOfdmRate54Mbps,129.382,20,20,4
6,ErpOfdmRate54Mbps,129.382,25,20,4
6,ErpOfdmRate54Mbps,129.382,30,20,4
6,ErpOfdmRate54Mbps,129.382,35,20,4
6,ErpOfdmRate54Mbps,129.383,40,20,4
6,ErpOfdmRate54Mbps,129.127,45,20,4
6,ErpOfdmRate54Mbps,0.0169298,50,20,4
6,ErpOfdmRate54Mbps,0.016949,55,20,4
6,ErpOfdmRate54Mbps,0.016949,60,20,4
6,ErpOfdmRate54Mbps,0.016949,65,20,4
6,ErpOfdmRate54Mbps,0.016949,70,20,4
6,ErpOfdmRate54Mbps,0.016949,75,20,4
6,ErpOfdmRate54Mbps,0.016949,80,20,4
6,ErpOfdmRate54Mbps,0,85,20,4
6,ErpOfdmRate54Mbps,0,90,20,4
6,ErpOfdmRate54Mbps,0,95,20,4
6,ErpOfdmRate54Mbps,0,100,20,4
7,ErpOfdmRate54Mbps,142.858,0,20,4
7,ErpOfdmRate54Mbps,142.858,5,20,4
7,ErpOfdmRate54Mbps,142.858,10,20,4
7,ErpOfdmRate54Mbps,142.858,15,20,4
7,ErpOfdmRate54Mbps,142.858,20,20,4
7,ErpOfdmRate54Mbps,142.858,25,20,4
7,ErpOfdmRate54Mbps,142.858,30,20,4
7,ErpOfdmRate54Mbps,142.858,35,20,4
7,ErpOfdmRate54Mbps,142.845,40,20,4
7,ErpOfdmRate54Mbps,0.016949,45,20,4
7,ErpOfdmRate54Mbps,0.016949,50,20,4
7,ErpOfdmRate54Mbps,0.016949,55,20,4
7,ErpOfdmRate54Mbps,0.016949,60,20,4
7,ErpOfdmRate54Mbps,0.016949,65,20,4
7,ErpOfdmRate54Mbps,0.016949,70,20,4
7,ErpOfdmRate54Mbps,0.016949,75,20,4
7,ErpOfdmRate54Mbps,0.016949,80,20,4
7,ErpOfdmRate54Mbps,0,85,20,4
7,ErpOfdmRate54Mbps,0,90,20,4
7,ErpOfdmRate54Mbps,0,95,20,4
7,ErpOfdmRate54Mbps,0,100,20,4
8,ErpOfdmRate54Mbps,168.881,0,20,4
8,ErpOfdmRate54Mbps,168.881,5,20,4
8,ErpOfdmRate54Mbps,168.881,10,20,4
8,ErpOfdmRate54Mbps,168.881,15,20,4
8,ErpOfdmRate54Mbps,168.881,20,20,4
8,ErpOfdmRate54Mbps,168.881,25,20,4
8,ErpOfdmRate54Mbps,168.881,30,20,4
8,ErpOfdmRate54Mbps,0.016949,35,20,4
8,ErpOfdmRate54Mbps,0.016949,40,20,4
8,ErpOfdmRate54Mbps,0.016949,45,20,4
8,ErpOfdmRate54Mbps,0.016949,50,20,4
8,ErpOfdmRate54Mbps,0.016949,55,20,4
8,ErpOfdmRate54Mbps,0.016949,60,20,4
8,ErpOfdmRate54Mbps,0.016949,65,20,4
