MCS,CtlrRate,Mean_Throughput(Mbps),Distance(m),SimulationTime(s),Seed
0,OfdmRate6Mbps,61.0687,0,20,10
0,OfdmRate6Mbps,61.0687,5,20,10
0,OfdmRate6Mbps,61.0687,10,20,10
0,OfdmRate6Mbps,61.0687,15,20,10
0,OfdmRate6Mbps,61.0687,20,20,10
0,OfdmRate6Mbps,61.0687,25,20,10
0,OfdmRate6Mbps,0.0183815,30,20,10
0,OfdmRate6Mbps,0.0183815,35,20,10
0,OfdmRate6Mbps,0.0183815,40,20,10
0,OfdmRate6Mbps,0.0183815,45,20,10
0,OfdmRate6Mbps,0.0183815,50,20,10
0,OfdmRate6Mbps,0,55,20,10
0,OfdmRate6Mbps,0,60,20,10
0,OfdmRate6Mbps,0,65,20,10
0,OfdmRate6Mbps,0,70,20,10
0,OfdmRate6Mbps,0,75,20,10
0,OfdmRate6Mbps,0,80,20,10
0,OfdmRate6Mbps,0,85,20,10
0,OfdmRate6Mbps,0,90,20,10
0,OfdmRate6Mbps,0,95,20,10
0,OfdmRate6Mbps,0,100,20,10
1,OfdmRate12Mbps,121.368,0,20,10
1,OfdmRate12Mbps,121.368,5,20,10
1,OfdmRate12Mbps,121.368,10,20,10
1,OfdmRate12Mbps,121.368,15,20,10
1,OfdmRate12Mbps,121.368,20,20,10
1,OfdmRate12Mbps,121.368,25,20,10
1,OfdmRate12Mbps,0.0183815,30,20,10
1,OfdmRate12Mbps,0.0183815,35,20,10
1,OfdmRate12Mbps,0.0183815,40,20,10
1,OfdmRate12Mbps,0.0183815,45,20,10
1,OfdmRate12Mbps,0.0183815,50,20,10
1,OfdmRate12Mbps,0,55,20,10
1,OfdmRate12Mbps,0,60,20,10
1,OfdmRate12Mbps,0,65,20,10
1,OfdmRate12Mbps,0,70,20,10
1,OfdmRate12Mbps,0,75,20,10
1,OfdmRate12Mbps,0,80,20,10
1,OfdmRate12Mbps,0,85,20,10
1,OfdmRate12Mbps,0,90,20,10
1,OfdmRate12Mbps,0,95,20,10
1,OfdmRate12Mbps,0,100,20,10
2,OfdmRate18Mbps,175.239,0,20,10
2,OfdmRate18Mbps,175.239,5,20,10
2,OfdmRate18Mbps,175.239,10,20,10
2,OfdmRate18Mbps,175.239,15,20,10
2,OfdmRate18Mbps,175.239,20,20,10
2,OfdmRate18Mbps,175.239,25,20,10
2,OfdmRate18Mbps,0.0183815,30,20,10
2,OfdmRate18Mbps,0.0183815,35,20,10
2,OfdmRate18Mbps,0.0183815,40,20,10
2,OfdmRate18Mbps,0.0183815,45,20,10
2,OfdmRate18Mbps,0.0183815,50,20,10
2,OfdmRate18Mbps,0,55,20,10
2,OfdmRate18Mbps,0,60,20,10
2,OfdmRate18Mbps,0,65,20,10
2,OfdmRate18Mbps,0,70,20,10
2,OfdmRate18Mbps,0,75,20,10
2,OfdmRate18Mbps,0,80,20,10
2,OfdmRate18Mbps,0,85,20,10
2,OfdmRate18Mbps,0,90,20,10
2,OfdmRate18Mbps,0,95,20,10
2,OfdmRate18Mbps,0,100,20,10
3,OfdmRate24Mbps,230.704,0,20,10
3,OfdmRate24Mbps,230.704,5,20,10
3,OfdmRate24Mbps,230.704,10,20,10
3,OfdmRate24Mbps,230.704,15,20,10
3,OfdmRate24Mbps,230.704,20,20,10
3,OfdmRate24Mbps,230.704,25,20,10
3,OfdmRate24Mbps,0.0183815,30,20,10
3,OfdmRate24Mbps,0.0183815,35,20,10
3,OfdmRate24Mbps,0.0183815,40,20,10
3,OfdmRate24Mbps,0.0183815,45,20,10
3,OfdmRate24Mbps,0.0183815,50,20,10
3,OfdmRate24Mbps,0,55,20,10
3,OfdmRate24Mbps,0,60,20,10
3,OfdmRate24Mbps,0,65,20,10
3,OfdmRate24Mbps,0,70,20,10
3,OfdmRate24Mbps,0,75,20,10
3,OfdmRate24Mbps,0,80,20,10
3,OfdmRate24Mbps,0,85,20,10
3,OfdmRate24Mbps,0,90,20,10
3,OfdmRate24Mbps,0,95,20,10
3,OfdmRate24Mbps,0,100,20,10
4,OfdmRate36Mbps,325.465,0,20,10
4,OfdmRate36Mbps,325.465,5,20,10
4,OfdmRate36Mbps,325.465,10,20,10
4,OfdmRate36Mbps,325.465,15,20,10
4,OfdmRate36Mbps,325.465,20,20,10
4,OfdmRate36Mbps,304.186,25,20,10
4,OfdmRate36Mbps,0.0183815,30,20,10
4,OfdmRate36Mbps,0.0183815,35,20,10
4,OfdmRate36Mbps,0.0183815,40,20,10
4,OfdmRate36Mbps,0.0183815,45,20,10
4,OfdmRate36Mbps,0.0183815,50,20,10
4,OfdmRate36Mbps,0,55,20,10
4,OfdmRate36Mbps,0,60,20,10
4,OfdmRate36Mbps,0,65,20,10
4,OfdmRate36Mbps,0,70,20,10
4,OfdmRate36Mbps,0,75,20,10
4,OfdmRate36Mbps,0,80,20,10
4,OfdmRate36Mbps,0,85,20,10
4,OfdmRate36Mbps,0,90,20,10
4,OfdmRate36Mbps,0,95,20,10
