MCS,CtlrRate,Mean_Throughput(Mbps),Distance(m),SimulationTime(s),Seed
0,ErpOfdmRate6Mbps,14.7766,0,20,8
0,ErpOfdmRate6Mbps,14.7764,5,20,8
0,ErpOfdmRate6Mbps,14.7764,10,20,8
0,ErpOfdmRate6Mbps,14.7764,15,20,8
0,ErpOfdmRate6Mbps,14.7764,20,20,8
0,ErpOfdmRate6Mbps,14.7764,25,20,8
0,ErpOfdmRate6Mbps,14.7764,30,20,8
0,ErpOfdmRate6Mbps,14.7764,35,20,8
0,ErpOfdmRate6Mbps,14.7761,40,20,8
0,ErpOfdmRate6Mbps,14.7761,45,20,8
0,ErpOfdmRate6Mbps,14.7759,50,20,8
0,ErpOfdmRate6Mbps,14.7757,55,20,8
0,ErpOfdmRate6Mbps,14.7757,60,20,8
0,ErpOfdmRate6Mbps,14.7757,65,20,8
0,ErpOfdmRate6Mbps,14.7757,70,20,8
0,ErpOfdmRate6Mbps,14.7757,75,20,8
0,ErpOfdmRate6Mbps,14.7757,80,20,8
0,ErpOfdmRate6Mbps,14.7757,85,20,8
0,ErpOfdmRate6Mbps,0,90,20,8
0,ErpOfdmRate6Mbps,0,95,20,8
0,ErpOfdmRate6Mbps,0,100,20,8
1,ErpOfdmRate12Mbps,29.7508,0,20,8
1,ErpOfdmRate12Mbps,29.7505,5,20,8
1,ErpOfdmRate12Mbps,29.7505,10,20,8
1,ErpOfdmRate12Mbps,29.7505,15,20,8
1,ErpOfdmRate12Mbps,29.7505,20,20,8
1,ErpOfdmRate12Mbps,29.75,25,20,8
1,ErpOfdmRate12Mbps,29.7495,30,20,8
1,ErpOfdmRate12Mbps,29.7495,35,20,8
1,ErpOfdmRate12Mbps,29.7495,40,20,8
1,ErpOfdmRate12Mbps,29.7495,45,20,8
1,ErpOfdmRate12Mbps,29.7495,50,20,8
1,ErpOfdmRate12Mbps,29.749,55,20,8
1,ErpOfdmRate12Mbps,29.7486,60,20,8
1,ErpOfdmRate12Mbps,29.7481,65,20,8
1,ErpOfdmRate12Mbps,29.7481,70,20,8
1,ErpOfdmRate12Mbps,29.7481,75,20,8
1,ErpOfdmRate12Mbps,29.7481,80,20,8
1,ErpOfdmRate12Mbps,29.7481,85,20,8
1,ErpOfdmRate12Mbps,0,90,20,8
1,ErpOfdmRate12Mbps,0,95,20,8
1,ErpOfdmRate12Mbps,0,100,20,8
2,ErpOfdmRate18Mbps,44.6174,0,20,8
2,ErpOfdmRate18Mbps,44.6169,5,20,8
2,ErpOfdmRate18Mbps,44.6169,10,20,8
2,ErpOfdmRate18Mbps,44.6169,15,20,8
2,ErpOfdmRate18Mbps,44.6169,20,20,8
2,ErpOfdmRate18Mbps,44.6169,25,20,8
2,ErpOfdmRate18Mbps,44.6169,30,20,8
2,ErpOfdmRate18Mbps,44.6164,35,20,8
2,ErpOfdmRate18Mbps,44.6164,40,20,8
2,ErpOfdmRate18Mbps,44.6164,45,20,8
2,ErpOfdmRate18Mbps,44.6164,50,20,8
2,ErpOfdmRate18Mbps,44.6164,55,20,8
2,ErpOfdmRate18Mbps,44.6164,60,20,8
2,ErpOfdmRate18Mbps,44.6156,65,20,8
2,ErpOfdmRate18Mbps,44.6148,70,20,8
2,ErpOfdmRate18Mbps,44.6148,75,20,8
2,ErpOfdmRate18Mbps,44.6148,80,20,8
2,ErpOfdmRate18Mbps,44.6148,85,20,8
2,ErpOfdmRate18Mbps,0,90,20,8
2,ErpOfdmRate18Mbps,0,95,20,8
2,ErpOfdmRate18Mbps,0,100,20,8
3,ErpOfdmRate24Mbps,59.705,0,20,8
3,ErpOfdmRate24Mbps,59.7041,5,20,8
3,ErpOfdmRate24Mbps,59.7023,10,20,8
3,ErpOfdmRate24Mbps,59.7023,15,20,8
3,ErpOfdmRate24Mbps,59.7023,20,20,8
3,ErpOfdmRate24Mbps,59.7011,25,20,8
3,ErpOfdmRate24Mbps,59.7011,30,20,8
3,ErpOfdmRate24Mbps,59.7011,35,20,8
3,ErpOfdmRate24Mbps,59.7011,40,20,8
3,ErpOfdmRate24Mbps,59.6993,45,20,8
3,ErpOfdmRate24Mbps,59.6993,50,20,8
3,ErpOfdmRate24Mbps,59.6993,55,20,8
3,ErpOfdmRate24Mbps,59.6986,60,20,8
3,ErpOfdmRate24Mbps,59.6986,65,20,8
